"
2018-19 District STAAR Performance",,,,,,,,,,,,,,,,,
District Name: HOUSTON ISD (101912),,,,,,,,,,,,,,,,,
County Name: HARRIS,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,State,Region 04,District,"African
American",Hispanic,White,"American
Indian",Asian,"Pacific
Islander","Two or
More
Races","Special
Ed
(Current)","Special
Ed
(Former)","Continu-
ously
Enrolled","Non-
Continu-
ously
Enrolled","Econ
Disadv","EL
(Current
& 
Monitored)"
"STAAR Performance Rates by Tested Grade, Subject, and Performance Level",,,,,,,,,,,,,,,,,
"
    Grade 3 Reading
,2018,44%,44%,38%,27%,35%,69%,33%,83%,50%,67%,25%,35%,40%,29%,31%,34%
     Reading and Mathematics Including EOC,2019,44%,44%,39%,27%,35%,71%,27%,82%,*,67%,20%,32%,41%,32%,32%,33%
,2018,44%,44%,38%,27%,35%,69%,33%,83%,50%,67%,25%,35%,40%,29%,31%,34%
     Reading Including EOC,2019,54%,54%,47%,40%,43%,80%,36%,86%,*,76%,25%,40%,48%,44%,41%,39%
,2018,54%,54%,47%,39%,44%,80%,56%,85%,70%,76%,29%,43%,49%,42%,41%,42%
     Math Including EOC,2019,58%,59%,55%,40%,55%,77%,59%,90%,*,73%,28%,50%,58%,45%,50%,55%
,2018,58%,59%,53%,39%,53%,76%,41%,90%,60%,74%,32%,50%,56%,43%,48%,54%
"
   6th Graders
     Reading and Mathematics",2019,31%,32%,27%,19%,22%,59%,8%,73%,64%,57%,20%,18%,29%,22%,20%,19%
,2018,31%,33%,29%,18%,25%,60%,45%,72%,40%,56%,24%,22%,30%,23%,22%,22%
     Reading and Mathematics Including EOC,2019,31%,32%,27%,19%,22%,59%,8%,73%,64%,57%,20%,18%,29%,22%,20%,19%
,2018,31%,33%,29%,18%,25%,60%,45%,72%,40%,56%,24%,22%,30%,23%,22%,22%
     Reading Including EOC,2019,37%,38%,34%,27%,28%,68%,17%,75%,82%,64%,22%,25%,35%,29%,26%,24%
,2018,39%,41%,36%,27%,32%,70%,50%,74%,53%,69%,26%,30%,38%,32%,29%,28%
     Math Including EOC,2019,48%,49%,42%,29%,40%,70%,21%,86%,64%,66%,26%,36%,44%,34%,35%,38%
,2018,45%,47%,42%,28%,40%,69%,59%,84%,50%,65%,25%,34%,44%,34%,36%,40%
"
   7th Graders
     Reading and Mathematics",2019,36%,39%,32%,23%,30%,61%,41%,69%,45%,65%,23%,33%,35%,24%,27%,23%
,2018,35%,37%,29%,21%,27%,59%,29%,72%,80%,51%,19%,16%,32%,22%,24%,24%
     Reading and Mathematics Including EOC,2019,37%,40%,35%,23%,32%,65%,41%,76%,46%,72%,23%,37%,38%,26%,28%,25%
