Texas Education Agency,,,,,,,,,,,,,,,,,
2018-19 STAAR Performance,,,,,,,,,,,,,,,,,
HARMONY SCIENCE ACADEMY (101846) - HARRIS COUNTY,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,"School
Year",State,Region 04,District,"African
American",Hispanic,White,"American
Indian",Asian,"Pacific
Islander","Two or
More
Races","Special
Ed
(Current)","Special
Ed
(Former)","Continu-
ously
Enrolled","Non-
Continu-
ously
Enrolled","Econ
Disadv","EB ⁄ EL
(Current
&
Monitored)"
Reading Including EOC,2019,55%,56%,62%,61%,61%,56%,*,69%,-,*,32%,*,67%,56%,60%,53%
,2018,50%,51%,54%,55%,51%,33%,-,69%,-,*,27%,*,54%,54%,50%,36%
Math Including EOC,2019,62%,64%,69%,64%,68%,78%,*,81%,-,*,40%,*,65%,73%,69%,67%
,2018,58%,60%,69%,63%,66%,83%,-,89%,-,*,48%,*,65%,72%,67%,61%
3rd - 8th Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2019,36%,37%,36%,38%,31%,43%,*,57%,-,58%,15%,19%,37%,35%,34%,29%
,2018,35%,36%,35%,36%,31%,41%,*,57%,-,31%,23%,13%,36%,35%,32%,29%
Reading and Mathematics Including EOC,2019,38%,39%,37%,39%,31%,44%,*,60%,-,62%,15%,19%,38%,35%,35%,29%
,2018,37%,38%,37%,37%,31%,42%,*,59%,-,36%,23%,13%,38%,35%,33%,29%
Reading Including EOC,2019,47%,48%,47%,49%,41%,53%,*,64%,-,77%,20%,25%,48%,45%,44%,38%
