Texas Education Agency,,,,,,,,,,,,,,,,,
2018-19 STAAR Performance,,,,,,,,,,,,,,,,,
SHELDON ISD (101924) - HARRIS COUNTY,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,"School
Year",State,Region 04,District,"African
American",Hispanic,White,"American
Indian",Asian,"Pacific
Islander","Two or
More
Races","Special
Ed
(Current)","Special
Ed
(Former)","Continu-
ously
Enrolled","Non-
Continu-
ously
Enrolled","Econ
Disadv","EB ⁄ EL
(Current
&
Monitored)"
"STAAR Performance Rates by Tested Grade, Subject, and Performance Level",,,,,,,,,,,,,,,,,
,2018,31%,33%,13%,11%,13%,15%,-,*,*,*,15%,25%,14%,10%,12%,13%
Reading Including EOC,2019,37%,38%,27%,18%,29%,39%,*,-,-,60%,14%,20%,29%,23%,27%,24%
,2018,39%,41%,21%,18%,22%,19%,-,*,*,*,17%,25%,24%,16%,20%,21%
Math Including EOC,2019,48%,49%,25%,17%,27%,31%,*,-,-,40%,16%,20%,27%,21%,25%,25%
,2018,45%,47%,20%,16%,22%,19%,-,*,*,*,21%,38%,23%,16%,20%,23%
7th Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2019,36%,39%,18%,16%,18%,13%,-,*,-,20%,18%,0%,20%,13%,17%,16%
,2018,35%,37%,19%,13%,20%,15%,-,*,*,20%,6%,*,20%,16%,19%,19%
Reading and Mathematics Including EOC,2019,37%,40%,18%,16%,18%,13%,-,*,-,20%,18%,0%,20%,13%,17%,16%
,2018,36%,38%,19%,13%,20%,15%,-,*,*,20%,6%,*,20%,16%,19%,19%
Reading Including EOC,2019,49%,51%,31%,27%,33%,21%,-,*,-,40%,18%,0%,34%,26%,31%,30%
,2018,48%,50%,30%,26%,31%,30%,-,*,*,40%,6%,*,31%,28%,29%,30%
Math Including EOC,2019,48%,50%,25%,22%,27%,17%,-,*,-,20%,23%,0%,27%,21%,25%,23%
,2018,45%,46%,28%,19%,31%,24%,-,*,*,20%,8%,*,31%,22%,28%,30%
8th Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2019,34%,35%,16%,11%,16%,41%,-,*,-,*,5%,*,14%,19%,15%,15%
,2018,28%,30%,14%,12%,14%,36%,*,*,-,60%,16%,13%,13%,16%,14%,11%
Reading and Mathematics Including EOC,2019,47%,48%,19%,14%,19%,38%,-,*,-,*,5%,17%,18%,20%,18%,17%
,2018,41%,43%,26%,17%,28%,42%,*,*,*,50%,16%,13%,29%,21%,25%,20%
Reading Including EOC,2019,55%,56%,40%,33%,41%,67%,-,*,-,*,5%,14%,44%,33%,38%,36%
,2018,50%,51%,38%,32%,37%,65%,*,*,*,75%,20%,22%,40%,33%,37%,27%
Math Including EOC,2019,62%,64%,33%,24%,35%,48%,-,*,-,*,12%,33%,33%,34%,32%,33%
,2018,58%,60%,37%,29%,39%,58%,*,*,*,50%,19%,25%,41%,30%,36%,32%
3rd - 8th Graders,,,,,,,,,,,,,,,,,
