Texas Education Agency,,,,,,,,,,,,,,,,,
2018-19 STAAR Performance,,,,,,,,,,,,,,,,,
CROSBY ISD (101906) - HARRIS COUNTY,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,"School
Year",State,Region 04,District,"African
American",Hispanic,White,"American
Indian",Asian,"Pacific
Islander","Two or
More
Races","Special
Ed
(Current)","Special
Ed
(Former)","Continu-
ously
Enrolled","Non-
Continu-
ously
Enrolled","Econ
Disadv","EB ⁄ EL
(Current
&
Monitored)"
Math Including EOC,2019,58%,59%,58%,51%,60%,60%,*,*,-,36%,35%,57%,58%,57%,54%,60%
,2018,58%,59%,60%,48%,65%,61%,*,*,-,50%,25%,50%,65%,49%,55%,74%
6th Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2019,31%,32%,29%,30%,24%,35%,*,*,-,11%,18%,20%,33%,23%,22%,17%
,2018,31%,33%,27%,23%,23%,33%,*,*,-,11%,9%,20%,26%,28%,20%,15%
Reading and Mathematics Including EOC,2019,31%,32%,29%,30%,24%,35%,*,*,-,11%,18%,20%,33%,23%,22%,17%
,2018,31%,33%,27%,23%,23%,33%,*,*,-,11%,9%,20%,26%,28%,20%,15%
Reading Including EOC,2019,37%,38%,36%,35%,31%,43%,*,*,-,11%,21%,30%,40%,28%,28%,23%
,2018,39%,41%,30%,26%,26%,36%,*,*,-,22%,13%,30%,31%,28%,23%,18%
Math Including EOC,2019,48%,49%,57%,52%,55%,59%,*,*,-,67%,26%,30%,60%,50%,51%,49%
,2018,45%,47%,52%,38%,49%,60%,*,*,-,11%,16%,60%,53%,51%,44%,47%
7th Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2019,36%,39%,36%,30%,31%,44%,*,*,-,0%,9%,38%,37%,34%,25%,17%
,2018,35%,37%,38%,28%,34%,43%,-,*,*,*,21%,22%,40%,33%,30%,26%
Reading and Mathematics Including EOC,2019,37%,40%,36%,30%,31%,44%,*,*,-,0%,9%,38%,37%,34%,25%,17%
,2018,36%,38%,38%,28%,34%,43%,-,*,*,*,21%,22%,40%,33%,30%,26%
Reading Including EOC,2019,49%,51%,43%,36%,40%,51%,*,*,-,13%,9%,75%,45%,39%,33%,23%
,2018,48%,50%,44%,40%,41%,47%,-,*,*,*,21%,22%,47%,38%,36%,30%
Math Including EOC,2019,48%,50%,47%,42%,42%,57%,*,*,-,0%,15%,38%,48%,47%,38%,30%
,2018,45%,46%,54%,43%,53%,58%,-,*,*,*,27%,33%,56%,51%,48%,48%
8th Graders,,,,,,,,,,,,,,,,,
