Texas Education Agency,,,,,,,,,,,,,,,,,
2018-19 STAAR Performance,,,,,,,,,,,,,,,,,
HARMONY SCHOOL OF EXCELLENCE (101858) - HARRIS COUNTY,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,"School
Year",State,Region 04,District,"African
American",Hispanic,White,"American
Indian",Asian,"Pacific
Islander","Two or
More
Races","Special
Ed
(Current)","Special
Ed
(Former)","Continu-
ously
Enrolled","Non-
Continu-
ously
Enrolled","Econ
Disadv","EB ⁄ EL
(Current
&
Monitored)"
,2018,80%,80%,79%,78%,76%,76%,*,93%,*,83%,48%,76%,86%,74%,75%,70%
At Meets Grade Level or Above,2019,54%,55%,48%,44%,43%,58%,*,70%,*,72%,25%,27%,55%,42%,42%,38%
,2018,51%,52%,46%,39%,40%,48%,*,75%,*,57%,25%,18%,56%,38%,39%,28%
At Masters Grade Level,2019,25%,27%,22%,18%,15%,29%,*,53%,*,31%,11%,9%,27%,17%,17%,14%
,2018,23%,24%,17%,13%,11%,22%,*,35%,*,22%,7%,12%,22%,13%,11%,7%
All Grades Social Studies,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,81%,81%,83%,81%,79%,91%,*,96%,*,92%,58%,*,90%,74%,79%,74%
,2018,78%,79%,84%,82%,79%,87%,*,97%,-,94%,49%,60%,93%,73%,80%,68%
At Meets Grade Level or Above,2019,55%,57%,54%,50%,45%,66%,*,84%,*,83%,27%,*,67%,35%,47%,35%
,2018,53%,54%,60%,55%,54%,58%,*,84%,-,78%,33%,20%,72%,46%,53%,35%
At Masters Grade Level,2019,33%,36%,34%,31%,24%,41%,*,64%,*,50%,16%,*,43%,20%,26%,14%
,2018,31%,32%,36%,34%,28%,38%,*,55%,-,50%,14%,20%,45%,24%,29%,13%
STAAR Performance Rates by Enrolled Grade at Meets Grade Level or Above,,,,,,,,,,,,,,,,,
3rd Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2019,35%,36%,41%,33%,33%,67%,-,73%,-,38%,30%,29%,44%,38%,32%,34%
,2018,34%,34%,41%,33%,35%,49%,-,69%,-,29%,9%,*,46%,35%,34%,38%
Reading and Mathematics Including EOC,2019,35%,36%,41%,33%,33%,67%,-,73%,-,38%,30%,29%,44%,38%,32%,34%
,2018,34%,34%,41%,33%,35%,49%,-,69%,-,29%,9%,*,46%,35%,34%,38%
Reading Including EOC,2019,45%,45%,56%,51%,48%,76%,-,78%,-,63%,35%,29%,60%,49%,47%,48%
,2018,43%,44%,51%,46%,44%,58%,-,71%,-,57%,14%,*,56%,45%,43%,48%
Math Including EOC,2019,49%,48%,51%,45%,43%,70%,-,82%,-,38%,30%,29%,53%,48%,41%,46%
,2018,47%,48%,52%,45%,43%,59%,-,84%,-,43%,11%,*,55%,46%,45%,47%
4th Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2019,35%,36%,34%,27%,27%,43%,-,67%,*,43%,7%,17%,37%,30%,27%,37%
,2018,36%,37%,37%,30%,27%,46%,-,71%,-,40%,17%,33%,41%,34%,28%,32%
Reading and Mathematics Including EOC,2019,35%,36%,34%,27%,27%,43%,-,67%,*,43%,7%,17%,37%,30%,27%,37%
,2018,36%,37%,37%,30%,27%,46%,-,71%,-,40%,17%,33%,41%,34%,28%,32%
Reading Including EOC,2019,44%,45%,45%,42%,39%,59%,-,69%,*,50%,7%,17%,50%,41%,38%,46%
,2018,46%,46%,46%,45%,36%,53%,-,77%,-,40%,22%,50%,51%,43%,37%,41%
Math Including EOC,2019,48%,49%,44%,41%,36%,59%,-,79%,*,43%,17%,17%,45%,44%,39%,46%
,2018,49%,51%,48%,36%,41%,59%,-,80%,-,36%,22%,83%,51%,46%,39%,44%
5th Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2019,44%,44%,43%,37%,35%,57%,-,74%,-,50%,11%,29%,54%,33%,36%,38%
,2018,44%,44%,45%,45%,38%,46%,-,67%,-,10%,30%,33%,49%,42%,38%,39%
