Texas Education Agency,,,,,,,,,,,,,,,,,
2020-21 STAAR Performance,,,,,,,,,,,,,,,,,
GALENA PARK ISD (101910) - HARRIS COUNTY,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Due to the cancellation of spring 2020 STAAR, 2021 and 2019 STAAR data are shown.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,"School
Year",State,Region 04,District,"African
American",Hispanic,White,"American
Indian",Asian,"Pacific
Islander","Two or
More
Races","Special
Ed
(Current)","Special
Ed
(Former)","Continu-
ously
Enrolled","Non-
Continu-
ously
Enrolled","Econ
Disadv","EB ⁄ EL
(Current
&
Monitored)"
At Meets Grade Level or Above,2021,55%,57%,46%,44%,46%,45%,40%,100%,-,56%,22%,43%,51%,32%,44%,35%
,2019,62%,63%,56%,57%,55%,67%,33%,85%,*,63%,20%,39%,61%,41%,54%,46%
At Masters Grade Level,2021,22%,26%,13%,10%,13%,9%,0%,57%,-,0%,4%,14%,15%,7%,12%,8%
,2019,25%,28%,16%,13%,16%,25%,0%,54%,*,0%,3%,17%,18%,10%,14%,9%
End of Course U.S. History,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,88%,89%,82%,78%,82%,92%,*,100%,*,*,55%,44%,84%,74%,80%,67%
,2019,93%,93%,94%,92%,94%,90%,*,100%,-,100%,68%,90%,95%,89%,93%,88%
At Meets Grade Level or Above,2021,69%,70%,56%,48%,57%,80%,*,100%,*,*,32%,44%,59%,45%,54%,37%
,2019,73%,75%,71%,69%,72%,69%,*,83%,-,100%,31%,60%,73%,62%,70%,54%
At Masters Grade Level,2021,43%,45%,27%,20%,28%,45%,*,67%,*,*,12%,22%,29%,20%,26%,14%
,2019,45%,49%,35%,28%,37%,35%,*,75%,-,40%,10%,30%,37%,27%,34%,21%
SAT/ACT All Subjects,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,95%,96%,87%,82%,86%,100%,-,100%,-,*,-,-,86%,92%,87%,88%
At Meets Grade Level or Above,2021,69%,75%,27%,23%,28%,17%,-,57%,-,*,-,-,28%,23%,26%,0%
At Masters Grade Level,2021,14%,18%,2%,0%,2%,0%,-,29%,-,*,-,-,2%,0%,2%,0%
All Grades All Subjects,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,67%,68%,62%,58%,63%,66%,67%,91%,80%,78%,31%,55%,65%,54%,60%,59%
,2019,78%,78%,78%,75%,78%,79%,79%,93%,92%,84%,41%,70%,80%,70%,76%,76%
At Meets Grade Level or Above,2021,41%,43%,33%,29%,34%,38%,33%,74%,40%,44%,16%,27%,36%,26%,31%,29%
,2019,50%,51%,46%,42%,47%,51%,51%,78%,69%,54%,19%,35%,49%,37%,44%,43%
At Masters Grade Level,2021,18%,20%,12%,9%,12%,14%,8%,44%,20%,12%,4%,10%,13%,8%,11%,10%
,2019,24%,25%,18%,14%,19%,24%,16%,48%,23%,21%,5%,13%,20%,13%,17%,17%
All Grades ELA/Reading,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,68%,69%,63%,59%,63%,68%,73%,93%,*,78%,27%,56%,65%,55%,61%,58%
,2019,75%,75%,73%,71%,73%,75%,68%,90%,100%,81%,34%,62%,76%,64%,72%,70%
At Meets Grade Level or Above,2021,45%,46%,36%,33%,36%,41%,38%,78%,*,48%,15%,28%,38%,28%,33%,30%
,2019,48%,49%,41%,38%,41%,47%,55%,75%,80%,51%,17%,24%,44%,32%,39%,36%
At Masters Grade Level,2021,18%,20%,11%,9%,11%,15%,4%,43%,*,15%,3%,9%,12%,8%,10%,10%
,2019,21%,22%,14%,11%,14%,21%,13%,39%,20%,19%,3%,8%,15%,10%,13%,13%
All Grades Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,66%,66%,63%,56%,65%,66%,63%,86%,*,74%,34%,59%,66%,55%,62%,63%
,2019,82%,82%,84%,82%,85%,85%,85%,98%,*,88%,50%,80%,86%,80%,84%,85%
At Meets Grade Level or Above,2021,37%,39%,33%,25%,34%,37%,32%,72%,*,35%,16%,30%,35%,25%,30%,33%
,2019,52%,53%,53%,47%,54%,54%,54%,83%,*,60%,22%,46%,56%,44%,52%,53%
At Masters Grade Level,2021,18%,19%,14%,9%,14%,14%,16%,47%,*,8%,4%,14%,15%,10%,12%,14%
,2019,26%,28%,25%,19%,26%,29%,27%,57%,*,26%,5%,19%,27%,19%,24%,26%
All Grades Writing,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,58%,59%,51%,46%,51%,54%,33%,94%,-,78%,18%,37%,53%,45%,48%,49%
,2019,68%,69%,67%,65%,67%,61%,80%,95%,*,75%,27%,49%,69%,59%,65%,68%
