Texas Education Agency,,,,,,,,,,,,,,,,,
2018-19 STAAR Performance,,,,,,,,,,,,,,,,,
GALENA PARK ISD (101910) - HARRIS COUNTY,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,"School
Year",State,Region 04,District,"African
American",Hispanic,White,"American
Indian",Asian,"Pacific
Islander","Two or
More
Races","Special
Ed
(Current)","Special
Ed
(Former)","Continu-
ously
Enrolled","Non-
Continu-
ously
Enrolled","Econ
Disadv","EB ⁄ EL
(Current
&
Monitored)"
,2018,74%,74%,72%,70%,72%,73%,82%,92%,*,81%,35%,63%,75%,65%,71%,69%
At Meets Grade Level or Above,2019,48%,49%,41%,38%,41%,47%,55%,75%,80%,51%,17%,24%,44%,32%,39%,36%
,2018,46%,47%,40%,37%,40%,44%,32%,69%,*,47%,17%,30%,42%,33%,38%,35%
At Masters Grade Level,2019,21%,22%,14%,11%,14%,21%,13%,39%,20%,19%,3%,8%,15%,10%,13%,13%
,2018,19%,20%,13%,11%,13%,17%,7%,40%,*,16%,3%,8%,14%,11%,12%,12%
All Grades Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,82%,82%,84%,82%,85%,85%,85%,98%,*,88%,50%,80%,86%,80%,84%,85%
,2018,81%,82%,84%,82%,84%,85%,85%,95%,*,91%,56%,81%,85%,80%,83%,84%
At Meets Grade Level or Above,2019,52%,53%,53%,47%,54%,54%,54%,83%,*,60%,22%,46%,56%,44%,52%,53%
,2018,50%,51%,50%,45%,51%,55%,31%,85%,*,43%,24%,45%,52%,43%,49%,51%
At Masters Grade Level,2019,26%,28%,25%,19%,26%,29%,27%,57%,*,26%,5%,19%,27%,19%,24%,26%
,2018,24%,25%,21%,16%,22%,26%,23%,59%,*,20%,6%,21%,23%,17%,20%,22%
All Grades Writing,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,68%,69%,67%,65%,67%,61%,80%,95%,*,75%,27%,49%,69%,59%,65%,68%
,2018,66%,66%,64%,64%,63%,67%,88%,100%,*,78%,21%,48%,67%,55%,62%,63%
At Meets Grade Level or Above,2019,38%,39%,33%,25%,34%,36%,40%,79%,*,35%,13%,18%,36%,26%,32%,34%
