Texas Education Agency,,,,,,,,,,,,,,,,,
2018-19 STAAR Performance,,,,,,,,,,,,,,,,,
CHANNELVIEW ISD (101905) - HARRIS COUNTY,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,"School
Year",State,Region 04,District,"African
American",Hispanic,White,"American
Indian",Asian,"Pacific
Islander","Two or
More
Races","Special
Ed
(Current)","Special
Ed
(Former)","Continu-
ously
Enrolled","Non-
Continu-
ously
Enrolled","Econ
Disadv","EB ⁄ EL
(Current
&
Monitored)"
,2018,45%,46%,32%,28%,34%,16%,29%,80%,*,14%,21%,36%,35%,26%,32%,24%
8th Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2019,34%,35%,21%,20%,22%,14%,*,*,-,*,20%,50%,20%,22%,19%,13%
,2018,28%,30%,18%,9%,19%,29%,*,*,-,*,26%,14%,18%,19%,18%,12%
Reading and Mathematics Including EOC,2019,47%,48%,40%,43%,40%,31%,33%,*,*,17%,24%,44%,42%,36%,38%,25%
,2018,41%,43%,35%,26%,37%,42%,*,43%,-,*,27%,33%,38%,28%,35%,21%
Reading Including EOC,2019,55%,56%,47%,52%,47%,34%,33%,*,*,33%,27%,56%,48%,45%,44%,31%
,2018,50%,51%,42%,31%,43%,50%,*,43%,-,*,31%,33%,45%,32%,41%,27%
Math Including EOC,2019,62%,64%,64%,61%,65%,47%,67%,*,*,33%,45%,78%,67%,54%,61%,57%
,2018,58%,60%,54%,37%,57%,52%,*,86%,-,*,28%,67%,57%,47%,54%,39%
