Primary_Key,School_Name,Test_Score,"STAAR Performance Rates by Tested Grade, Subject, and Performance Level",School_Year,YoY_State,State,YoY_Region,Region_04,YoY_District,District,YoY_African_American,African_American,YoY_Hispanic,Hispanic,YoY_White,White,YoY_Econ_Disadv,Econ_Disadv,YoY_ELL,ELL
Harmony_Schools_West_Grade 7 Reading,Harmony_Schools_West,Grade 7 Reading,At Masters Grade Level,2021_2022,0.12,0.37,0.12,0.39,0.19,0.55,0.17,0.55,0.14,0.37,0.21,0.5,0.21,0.51,0.21,0.46
Goose_Creek_ISD_Grade 4 Reading,Goose_Creek_ISD,Grade 4 Reading,At Meets Grade Level or Above,2021_2022,0.18,0.54,0.18,0.55,0.17,0.51,0.16,0.38,0.18,0.51,0.15,0.57,0.18,0.46,0.21,0.52
Goose_Creek_ISD_Grade 4 Reading,Goose_Creek_ISD,Grade 4 Reading,At Meets Grade Level or Above,2021_2022,0.18,0.54,0.18,0.55,0.17,0.51,0.16,0.38,0.18,0.51,0.15,0.57,0.18,0.46,0.21,0.52
Channelview_ISD_Grade 4 Reading,Channelview_ISD,Grade 4 Reading,At Meets Grade Level or Above,2021_2022,0.18,0.54,0.18,0.55,0.22,0.48,0.17,0.33,0.21,0.49,0.34,0.52,0.19,0.45,0.21,0.5
Channelview_ISD_Grade 4 Reading,Channelview_ISD,Grade 4 Reading,At Meets Grade Level or Above,2021_2022,0.18,0.54,0.18,0.55,0.22,0.48,0.17,0.33,0.21,0.49,0.34,0.52,0.19,0.45,0.21,0.5
Harmony_Schools_Grade 7 Mathematics,Harmony_Schools,Grade 7 Mathematics,At Meets Grade Level or Above,2021_2022,0.04,0.31,0.05,0.34,0.23,0.51,0.28,0.46,0.21,0.45,0.33,0.72,0.22,0.44,0.21,0.39
Harmony_Schools_Grade 7 Mathematics,Harmony_Schools,Grade 7 Mathematics,At Meets Grade Level or Above,2021_2022,0.04,0.31,0.05,0.34,0.23,0.51,0.28,0.46,0.21,0.45,0.33,0.72,0.22,0.44,0.21,0.39
Aldine_ISD_Grade 4 Reading,Aldine_ISD,Grade 4 Reading,At Meets Grade Level or Above,2021_2022,0.18,0.54,0.18,0.55,0.2,0.34,0.18,0.31,0.21,0.35,0.08,0.37,0.21,0.34,0.21,0.34
Aldine_ISD_Grade 4 Reading,Aldine_ISD,Grade 4 Reading,At Meets Grade Level or Above,2021_2022,0.18,0.54,0.18,0.55,0.2,0.34,0.18,0.31,0.21,0.35,0.08,0.37,0.21,0.34,0.21,0.34
Harmony_Schools_South_Grade 3 Reading,Harmony_Schools_South,Grade 3 Reading,At Meets Grade Level or Above,2021_2022,0.12,0.51,0.13,0.52,0.28,0.5,0.24,0.47,0.31,0.46,0.37,0.6,0.26,0.47,0.21,0.44
