Texas Education Agency,,,,,,,,,,,,,,,,,
2018-19 STAAR Performance,,,,,,,,,,,,,,,,,
SPRING BRANCH ISD (101920) - HARRIS COUNTY,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,"School
Year",State,Region 04,District,"African
American",Hispanic,White,"American
Indian",Asian,"Pacific
Islander","Two or
More
Races","Special
Ed
(Current)","Special
Ed
(Former)","Continu-
ously
Enrolled","Non-
Continu-
ously
Enrolled","Econ
Disadv","EB ⁄ EL
(Current
&
Monitored)"
At Masters Grade Level,2019,33%,36%,39%,31%,25%,60%,40%,70%,*,57%,9%,33%,40%,37%,24%,12%
,2018,31%,32%,34%,20%,20%,57%,67%,57%,*,47%,8%,20%,35%,31%,19%,9%
STAAR Performance Rates by Enrolled Grade at Meets Grade Level or Above,,,,,,,,,,,,,,,,,
3rd Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2019,35%,36%,37%,22%,22%,63%,*,68%,*,47%,21%,18%,38%,33%,19%,22%
,2018,34%,34%,36%,19%,22%,62%,*,64%,-,59%,27%,26%,36%,33%,22%,22%
Reading and Mathematics Including EOC,2019,35%,36%,37%,22%,22%,63%,*,68%,*,47%,21%,18%,38%,33%,19%,22%
,2018,34%,34%,36%,19%,22%,62%,*,64%,-,59%,27%,26%,36%,33%,22%,22%
Reading Including EOC,2019,45%,45%,46%,31%,31%,71%,*,73%,*,60%,28%,25%,46%,43%,28%,29%
,2018,43%,44%,44%,29%,30%,70%,*,68%,-,66%,32%,32%,44%,41%,29%,30%
Math Including EOC,2019,49%,48%,49%,31%,36%,72%,*,82%,*,57%,28%,28%,51%,45%,32%,37%
,2018,47%,48%,47%,27%,33%,72%,*,81%,-,69%,33%,45%,48%,42%,33%,34%
4th Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2019,35%,36%,37%,20%,23%,63%,*,66%,-,55%,27%,20%,39%,30%,19%,21%
,2018,36%,37%,35%,15%,20%,63%,*,72%,*,56%,22%,28%,38%,29%,21%,20%
Reading and Mathematics Including EOC,2019,35%,36%,37%,20%,23%,63%,*,66%,-,55%,27%,20%,39%,30%,19%,21%
,2018,36%,37%,35%,15%,20%,63%,*,72%,*,56%,22%,28%,38%,30%,21%,20%
Reading Including EOC,2019,44%,45%,44%,26%,30%,72%,*,68%,-,67%,28%,24%,46%,39%,27%,28%
,2018,46%,46%,43%,29%,27%,72%,*,77%,*,61%,25%,40%,45%,39%,28%,27%
Math Including EOC,2019,48%,49%,49%,26%,36%,74%,*,81%,-,70%,31%,45%,52%,40%,33%,36%
,2018,49%,51%,46%,19%,33%,73%,*,81%,*,58%,31%,32%,50%,37%,32%,34%
5th Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2019,44%,44%,46%,24%,28%,79%,*,79%,*,62%,21%,46%,47%,41%,26%,28%
,2018,44%,44%,41%,22%,25%,75%,25%,79%,-,77%,26%,38%,44%,35%,26%,25%
Reading and Mathematics Including EOC,2019,44%,44%,46%,24%,28%,79%,*,79%,*,62%,21%,46%,47%,41%,26%,28%
,2018,44%,44%,42%,22%,25%,75%,25%,79%,-,77%,26%,38%,44%,35%,26%,25%
Reading Including EOC,2019,54%,54%,54%,37%,38%,85%,*,81%,*,74%,26%,62%,55%,50%,36%,37%
,2018,54%,54%,50%,36%,35%,82%,25%,81%,-,84%,31%,49%,51%,47%,35%,35%
Math Including EOC,2019,58%,59%,58%,33%,43%,86%,*,93%,*,69%,32%,60%,60%,53%,41%,45%
,2018,58%,59%,54%,30%,40%,83%,38%,90%,-,82%,31%,54%,56%,47%,41%,42%
6th Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2019,31%,32%,34%,13%,20%,60%,17%,71%,*,66%,14%,36%,36%,27%,18%,19%
,2018,31%,33%,35%,12%,19%,65%,*,71%,-,49%,15%,43%,36%,31%,18%,18%
Reading and Mathematics Including EOC,2019,31%,32%,34%,13%,20%,60%,17%,71%,*,66%,14%,36%,36%,27%,18%,19%
,2018,31%,33%,35%,12%,19%,65%,*,71%,-,50%,15%,43%,36%,31%,18%,18%
Reading Including EOC,2019,37%,38%,37%,17%,24%,62%,17%,74%,*,69%,15%,36%,40%,31%,22%,23%
,2018,39%,41%,41%,22%,26%,70%,*,73%,-,55%,19%,43%,42%,38%,25%,23%
Math Including EOC,2019,48%,49%,52%,27%,36%,83%,33%,88%,*,83%,24%,62%,53%,47%,33%,36%
,2018,45%,47%,48%,19%,31%,79%,*,93%,-,60%,20%,56%,50%,42%,30%,31%
7th Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2019,36%,39%,39%,14%,24%,69%,*,76%,*,57%,16%,47%,41%,33%,22%,22%
