Texas Education Agency,,,,,,,,,,,,,,,,,
2020-21 STAAR Performance,,,,,,,,,,,,,,,,,
HUMBLE ISD (101913) - HARRIS COUNTY,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Due to the cancellation of spring 2020 STAAR, 2021 and 2019 STAAR data are shown.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,"School
Year",State,Region 04,District,"African
American",Hispanic,White,"American
Indian",Asian,"Pacific
Islander","Two or
More
Races","Special
Ed
(Current)","Special
Ed
(Former)","Continu-
ously
Enrolled","Non-
Continu-
ously
Enrolled","Econ
Disadv","EB ⁄ EL
(Current
&
Monitored)"
At Meets Grade Level or Above,2021,45%,46%,47%,34%,40%,63%,49%,68%,46%,52%,20%,39%,51%,38%,31%,27%
,2019,48%,49%,52%,38%,45%,67%,47%,74%,47%,60%,22%,44%,55%,44%,37%,32%
At Masters Grade Level,2021,18%,20%,19%,10%,14%,29%,22%,36%,20%,24%,6%,16%,21%,14%,9%,9%
,2019,21%,22%,20%,11%,15%,31%,10%,37%,18%,28%,6%,19%,23%,15%,11%,11%
All Grades Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,66%,66%,69%,53%,64%,83%,80%,87%,67%,71%,38%,65%,73%,59%,54%,57%
,2019,82%,82%,81%,69%,80%,90%,86%,93%,75%,82%,49%,81%,84%,76%,72%,76%
At Meets Grade Level or Above,2021,37%,39%,39%,22%,32%,56%,43%,65%,30%,44%,20%,36%,43%,29%,23%,25%
,2019,52%,53%,50%,33%,44%,65%,53%,77%,42%,57%,25%,47%,54%,42%,36%,39%
At Masters Grade Level,2021,18%,19%,17%,7%,12%,28%,18%,37%,11%,23%,7%,18%,19%,12%,8%,9%
,2019,26%,28%,21%,10%,16%,30%,20%,43%,14%,25%,9%,19%,23%,15%,11%,15%
All Grades Writing,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,58%,59%,61%,48%,52%,77%,100%,83%,67%,64%,27%,51%,65%,52%,44%,42%
,2019,68%,69%,68%,57%,63%,79%,68%,85%,59%,69%,31%,53%,70%,63%,53%,56%
At Meets Grade Level or Above,2021,30%,31%,31%,21%,24%,45%,40%,54%,33%,33%,15%,22%,35%,24%,18%,15%
,2019,38%,39%,38%,26%,31%,50%,27%,61%,44%,42%,17%,24%,41%,32%,23%,23%
At Masters Grade Level,2021,9%,9%,9%,3%,6%,15%,0%,19%,10%,7%,5%,10%,10%,6%,3%,3%
,2019,14%,15%,14%,7%,8%,21%,9%,31%,13%,17%,6%,8%,15%,10%,6%,5%
