Texas Education Agency,,,,,,,,,,,,,,,,,
2018-19 STAAR Performance,,,,,,,,,,,,,,,,,
HUMBLE ISD (101913) - HARRIS COUNTY,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,"School
Year",State,Region 04,District,"African
American",Hispanic,White,"American
Indian",Asian,"Pacific
Islander","Two or
More
Races","Special
Ed
(Current)","Special
Ed
(Former)","Continu-
ously
Enrolled","Non-
Continu-
ously
Enrolled","Econ
Disadv","EB ⁄ EL
(Current
&
Monitored)"
,2018,59%,60%,71%,55%,65%,85%,85%,91%,81%,75%,31%,64%,74%,63%,59%,38%
At Masters Grade Level,2019,25%,28%,35%,18%,27%,51%,64%,57%,42%,42%,7%,24%,38%,27%,21%,12%
,2018,24%,26%,34%,17%,26%,49%,46%,64%,25%,38%,7%,36%,37%,26%,22%,7%
End of Course U.S. History,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,93%,93%,94%,89%,94%,98%,100%,97%,86%,98%,67%,90%,96%,91%,91%,78%
,2018,92%,91%,96%,92%,94%,98%,94%,98%,86%,96%,72%,90%,97%,92%,92%,84%
At Meets Grade Level or Above,2019,73%,75%,80%,67%,76%,92%,77%,90%,57%,86%,40%,68%,83%,71%,69%,39%
,2018,70%,71%,81%,70%,73%,92%,88%,90%,86%,89%,44%,70%,84%,72%,70%,43%
At Masters Grade Level,2019,45%,49%,55%,35%,48%,74%,46%,69%,14%,53%,20%,46%,59%,42%,38%,14%
,2018,40%,43%,52%,34%,41%,70%,56%,69%,14%,63%,14%,43%,55%,43%,35%,12%
All Grades All Subjects,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,78%,78%,79%,68%,76%,89%,83%,92%,75%,82%,45%,77%,82%,73%,69%,68%
,2018,77%,77%,80%,69%,77%,89%,80%,94%,73%,84%,46%,77%,83%,75%,71%,69%
At Meets Grade Level or Above,2019,50%,51%,52%,37%,45%,67%,50%,75%,44%,59%,24%,45%,56%,43%,37%,34%
,2018,48%,49%,53%,37%,46%,68%,54%,77%,46%,58%,26%,48%,57%,45%,40%,35%
At Masters Grade Level,2019,24%,25%,23%,12%,17%,34%,19%,42%,16%,29%,8%,20%,25%,16%,12%,12%
,2018,22%,23%,25%,13%,18%,36%,25%,45%,16%,29%,8%,24%,27%,18%,15%,12%
All Grades ELA/Reading,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,75%,75%,78%,66%,74%,88%,80%,91%,76%,83%,40%,75%,80%,71%,67%,64%
,2018,74%,74%,78%,66%,75%,88%,75%,93%,72%,83%,43%,73%,81%,73%,68%,64%
At Meets Grade Level or Above,2019,48%,49%,52%,38%,45%,67%,47%,74%,47%,60%,22%,44%,55%,44%,37%,32%
,2018,46%,47%,53%,37%,45%,67%,47%,74%,40%,59%,25%,43%,56%,45%,39%,32%
At Masters Grade Level,2019,21%,22%,20%,11%,15%,31%,10%,37%,18%,28%,6%,19%,23%,15%,11%,11%
,2018,19%,20%,22%,12%,16%,33%,12%,38%,14%,27%,8%,21%,24%,17%,14%,11%
All Grades Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,82%,82%,81%,69%,80%,90%,86%,93%,75%,82%,49%,81%,84%,76%,72%,76%
,2018,81%,82%,83%,72%,81%,91%,87%,95%,76%,87%,50%,83%,85%,78%,75%,78%
At Meets Grade Level or Above,2019,52%,53%,50%,33%,44%,65%,53%,77%,42%,57%,25%,47%,54%,42%,36%,39%
,2018,50%,51%,52%,35%,45%,65%,52%,82%,46%,58%,27%,51%,55%,43%,39%,42%
At Masters Grade Level,2019,26%,28%,21%,10%,16%,30%,20%,43%,14%,25%,9%,19%,23%,15%,11%,15%
,2018,24%,25%,25%,12%,19%,36%,26%,52%,18%,27%,9%,26%,28%,18%,15%,17%
All Grades Writing,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,68%,69%,68%,57%,63%,79%,68%,85%,59%,69%,31%,53%,70%,63%,53%,56%
,2018,66%,66%,69%,56%,63%,79%,53%,89%,59%,73%,31%,66%,72%,63%,57%,58%
At Meets Grade Level or Above,2019,38%,39%,38%,26%,31%,50%,27%,61%,44%,42%,17%,24%,41%,32%,23%,23%
,2018,41%,42%,44%,30%,35%,57%,26%,67%,32%,49%,22%,34%,46%,38%,31%,29%
