Texas Education Agency,,,,,,,,,,,,,,,,,
2018-19 STAAR Performance,,,,,,,,,,,,,,,,,
GOOSE CREEK CISD (101911) - HARRIS COUNTY,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,"School
Year",State,Region 04,District,"African
American",Hispanic,White,"American
Indian",Asian,"Pacific
Islander","Two or
More
Races","Special
Ed
(Current)","Special
Ed
(Former)","Continu-
ously
Enrolled","Non-
Continu-
ously
Enrolled","Econ
Disadv","EB ⁄ EL
(Current
&
Monitored)"
,2018,34%,34%,26%,19%,25%,32%,14%,62%,-,24%,19%,15%,26%,21%,22%,24%
Reading and Mathematics Including EOC,2019,35%,36%,28%,19%,27%,34%,*,71%,*,42%,14%,19%,29%,23%,24%,24%
,2018,34%,34%,26%,19%,25%,32%,14%,62%,-,24%,19%,15%,26%,21%,22%,24%
Reading Including EOC,2019,45%,45%,37%,27%,35%,45%,*,75%,*,53%,17%,28%,37%,38%,33%,32%
,2018,43%,44%,35%,32%,32%,44%,29%,67%,-,41%,25%,17%,35%,32%,31%,30%
Math Including EOC,2019,49%,48%,41%,28%,41%,48%,*,71%,*,61%,21%,32%,42%,36%,37%,40%
,2018,47%,48%,39%,28%,39%,45%,14%,71%,-,40%,22%,34%,40%,31%,36%,42%
4th Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2019,35%,36%,28%,19%,27%,33%,40%,59%,*,25%,16%,21%,28%,26%,24%,26%
,2018,36%,37%,27%,22%,25%,36%,*,57%,*,28%,14%,19%,28%,26%,24%,25%
Reading and Mathematics Including EOC,2019,35%,36%,28%,19%,27%,33%,40%,59%,*,25%,16%,21%,28%,26%,24%,26%
,2018,36%,37%,27%,22%,25%,36%,*,57%,*,28%,14%,19%,28%,26%,24%,25%
Reading Including EOC,2019,44%,45%,37%,32%,36%,45%,40%,64%,*,31%,18%,38%,38%,35%,33%,33%
,2018,46%,46%,38%,33%,35%,49%,*,62%,*,45%,17%,27%,38%,37%,33%,33%
Math Including EOC,2019,48%,49%,41%,29%,42%,45%,60%,73%,*,41%,20%,36%,41%,40%,37%,42%
,2018,49%,51%,41%,31%,41%,48%,*,71%,*,34%,17%,43%,42%,36%,37%,44%
5th Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2019,44%,44%,35%,29%,34%,41%,20%,71%,*,36%,13%,31%,36%,32%,30%,34%
,2018,44%,44%,38%,30%,36%,45%,*,68%,*,41%,17%,32%,39%,32%,34%,35%
Reading and Mathematics Including EOC,2019,44%,44%,35%,29%,34%,41%,20%,71%,*,36%,13%,31%,36%,32%,30%,34%
,2018,44%,44%,38%,30%,36%,45%,*,68%,*,41%,17%,32%,39%,32%,34%,35%
Reading Including EOC,2019,54%,54%,43%,36%,41%,52%,40%,79%,*,44%,15%,34%,44%,39%,37%,40%
,2018,54%,54%,46%,39%,44%,55%,*,71%,*,62%,18%,45%,47%,43%,42%,42%
Math Including EOC,2019,58%,59%,51%,42%,51%,57%,60%,86%,*,50%,22%,52%,53%,46%,46%,56%
,2018,58%,59%,55%,46%,54%,60%,*,89%,*,53%,25%,61%,57%,48%,52%,56%
6th Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2019,31%,32%,26%,20%,24%,34%,*,57%,*,34%,13%,12%,28%,20%,22%,20%
,2018,31%,33%,24%,16%,23%,29%,*,65%,*,28%,18%,24%,25%,20%,19%,20%
Reading and Mathematics Including EOC,2019,31%,32%,26%,20%,24%,34%,*,57%,*,34%,13%,12%,28%,20%,22%,20%
,2018,31%,33%,24%,16%,23%,29%,*,65%,*,28%,18%,24%,25%,20%,19%,20%
Reading Including EOC,2019,37%,38%,32%,24%,29%,41%,*,57%,*,46%,15%,18%,33%,26%,27%,23%
,2018,39%,41%,31%,27%,29%,39%,*,74%,*,28%,21%,36%,32%,29%,27%,24%
Math Including EOC,2019,48%,49%,48%,35%,46%,57%,*,90%,*,54%,19%,38%,50%,39%,43%,43%
,2018,45%,47%,37%,26%,37%,42%,*,73%,*,52%,14%,40%,39%,29%,33%,36%
7th Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2019,36%,39%,34%,27%,32%,44%,*,77%,*,43%,12%,43%,36%,27%,29%,24%
,2018,35%,37%,29%,13%,28%,40%,*,71%,*,30%,14%,25%,31%,22%,23%,16%
Reading and Mathematics Including EOC,2019,37%,40%,34%,27%,32%,44%,*,77%,*,43%,12%,43%,36%,27%,29%,24%
,2018,36%,38%,29%,13%,28%,40%,*,71%,*,30%,14%,25%,31%,22%,23%,16%
Reading Including EOC,2019,49%,51%,42%,34%,40%,53%,*,77%,*,57%,13%,43%,45%,34%,37%,30%
,2018,48%,50%,41%,30%,39%,51%,*,75%,*,52%,16%,25%,42%,37%,36%,23%
Math Including EOC,2019,48%,50%,50%,42%,47%,63%,*,81%,*,63%,22%,67%,52%,42%,44%,41%
,2018,45%,46%,38%,21%,38%,49%,*,81%,*,43%,14%,39%,41%,29%,33%,28%
8th Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2019,34%,35%,33%,24%,34%,40%,*,40%,*,53%,14%,37%,36%,27%,29%,20%
,2018,28%,30%,25%,20%,23%,33%,*,31%,-,29%,17%,11%,25%,23%,22%,13%
Reading and Mathematics Including EOC,2019,47%,48%,42%,27%,43%,49%,*,61%,*,57%,14%,43%,45%,31%,36%,24%
,2018,41%,43%,34%,26%,32%,44%,*,62%,-,39%,17%,10%,36%,28%,29%,16%
Reading Including EOC,2019,55%,56%,48%,34%,49%,55%,*,61%,*,67%,17%,57%,51%,39%,43%,30%
,2018,50%,51%,42%,38%,39%,54%,*,62%,-,50%,17%,19%,44%,37%,37%,20%
