Texas Education Agency,,,,,,,,,,,,,,,,,
2018-19 STAAR Performance,,,,,,,,,,,,,,,,,
HARMONY SCHOOL OF SCIENCE - HOUSTO (101862) - HARRIS COUNTY,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,"School
Year",State,Region 04,District,"African
American",Hispanic,White,"American
Indian",Asian,"Pacific
Islander","Two or
More
Races","Special
Ed
(Current)","Special
Ed
(Former)","Continu-
ously
Enrolled","Non-
Continu-
ously
Enrolled","Econ
Disadv","EB ⁄ EL
(Current
&
Monitored)"
,2018,39%,41%,56%,61%,42%,38%,-,73%,-,50%,20%,17%,65%,48%,52%,44%
Math Including EOC,2019,48%,49%,79%,73%,66%,77%,*,91%,*,90%,18%,40%,83%,76%,75%,80%
,2018,45%,47%,78%,71%,76%,64%,-,95%,-,67%,33%,57%,82%,74%,73%,74%
7th Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2019,36%,39%,61%,57%,47%,61%,*,74%,-,38%,11%,40%,74%,52%,52%,50%
,2018,35%,37%,71%,71%,58%,73%,-,77%,*,89%,33%,*,72%,71%,68%,69%
Reading and Mathematics Including EOC,2019,37%,40%,61%,57%,47%,61%,*,74%,-,38%,11%,40%,74%,52%,52%,50%
,2018,36%,38%,71%,71%,58%,73%,-,77%,*,89%,33%,*,72%,71%,68%,69%
Reading Including EOC,2019,49%,51%,67%,64%,56%,67%,*,76%,-,50%,28%,40%,78%,60%,60%,58%
,2018,48%,50%,77%,79%,68%,77%,-,77%,*,94%,33%,*,76%,78%,75%,72%
Math Including EOC,2019,48%,50%,73%,67%,61%,73%,*,86%,-,50%,22%,80%,85%,65%,65%,67%
,2018,45%,46%,77%,73%,65%,78%,-,92%,*,89%,32%,*,79%,76%,74%,78%
8th Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2019,34%,35%,51%,53%,40%,52%,*,61%,-,*,24%,-,52%,50%,49%,38%
,2018,28%,30%,48%,47%,46%,48%,-,49%,-,*,33%,*,48%,49%,42%,43%
Reading and Mathematics Including EOC,2019,47%,48%,71%,71%,54%,75%,*,81%,-,87%,27%,*,75%,66%,65%,57%
,2018,41%,43%,66%,58%,56%,67%,*,75%,-,100%,38%,*,64%,68%,57%,53%
Reading Including EOC,2019,55%,56%,77%,74%,61%,86%,*,85%,-,100%,33%,*,78%,75%,71%,63%
,2018,50%,51%,71%,67%,61%,73%,*,77%,-,100%,39%,*,70%,72%,64%,57%
Math Including EOC,2019,62%,64%,80%,77%,69%,80%,*,93%,-,87%,47%,*,84%,76%,76%,74%
,2018,58%,60%,81%,72%,82%,79%,*,87%,-,100%,41%,*,80%,82%,75%,76%
3rd - 8th Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2019,36%,37%,56%,53%,40%,60%,*,70%,*,38%,18%,43%,60%,53%,49%,51%
