Primary_Key,School_Name,Test_Score,"STAAR Performance Rates by Tested Grade, Subject, and Performance Level",School_Year,State,Region_04,District,African_American,Hispanic,White,Econ_Disadv,ELL
Tomball_ISD_Grade 6 Reading,Tomball_ISD,Grade 6 Reading,At Approaches Grade Level or Above,2022,0.7,0.7,0.89,0.72,0.84,0.91,0.79,0.84
Katy_ISD_Grade 6 Mathematics,Katy_ISD,Grade 6 Mathematics,At Approaches Grade Level or Above,2021,0.68,0.68,0.87,0.76,0.82,0.94,0.76,0.84
Katy_ISD_Grade 6 Mathematics,Katy_ISD,Grade 6 Mathematics,At Approaches Grade Level or Above,2021,0.68,0.68,0.87,0.76,0.82,0.94,0.76,0.84
Tomball_ISD_Grade 5 Reading,Tomball_ISD,Grade 5 Reading,At Approaches Grade Level or Above,2021,0.73,0.73,0.87,0.76,0.83,0.9,0.73,0.84
Tomball_ISD_Grade 5 Reading,Tomball_ISD,Grade 5 Reading,At Approaches Grade Level or Above,2021,0.73,0.73,0.87,0.76,0.83,0.9,0.73,0.84
Harmony_Schools_West_Grade 4 Mathematics,Harmony_Schools_West,Grade 4 Mathematics,At Approaches Grade Level or Above,2022,0.7,0.7,0.86,0.86,0.66,0.89,0.82,0.83
Harmony_Schools_West_Grade 4 Mathematics,Harmony_Schools_West,Grade 4 Mathematics,At Approaches Grade Level or Above,2022,0.7,0.7,0.86,0.86,0.66,0.89,0.82,0.83
Harmony_Schools_West_Grade 6 Reading,Harmony_Schools_West,Grade 6 Reading,At Approaches Grade Level or Above,2022,0.7,0.7,0.85,0.86,0.71,0.94,0.81,0.83
Harmony_Schools_West_Grade 6 Reading,Harmony_Schools_West,Grade 6 Reading,At Approaches Grade Level or Above,2022,0.7,0.7,0.85,0.86,0.71,0.94,0.81,0.83
Cypress_Fairbanks_ISD_Grade 5 Reading,Cypress_Fairbanks_ISD,Grade 5 Reading,At Approaches Grade Level or Above,2022,0.81,0.81,0.85,0.76,0.82,0.93,0.79,0.83
Cypress_Fairbanks_ISD_Grade 5 Reading,Cypress_Fairbanks_ISD,Grade 5 Reading,At Approaches Grade Level or Above,2022,0.81,0.81,0.85,0.76,0.82,0.93,0.79,0.83
Klein_ISD_Grade 4 Reading,Klein_ISD,Grade 4 Reading,At Approaches Grade Level or Above,2022,0.77,0.77,0.85,0.71,0.83,0.91,0.79,0.83
Klein_ISD_Grade 4 Reading,Klein_ISD,Grade 4 Reading,At Approaches Grade Level or Above,2022,0.77,0.77,0.85,0.71,0.83,0.91,0.79,0.83
Klein_ISD_Grade 5 Mathematics,Klein_ISD,Grade 5 Mathematics,At Approaches Grade Level or Above,2022,0.77,0.76,0.83,0.72,0.8,0.9,0.77,0.83
Klein_ISD_Grade 5 Mathematics,Klein_ISD,Grade 5 Mathematics,At Approaches Grade Level or Above,2022,0.77,0.76,0.83,0.72,0.8,0.9,0.77,0.83
Tomball_ISD_Grade 5 Science,Tomball_ISD,Grade 5 Science,At Approaches Grade Level or Above,2021,0.62,0.62,0.88,0.76,0.81,0.92,0.75,0.83
Tomball_ISD_Grade 5 Science,Tomball_ISD,Grade 5 Science,At Approaches Grade Level or Above,2021,0.62,0.62,0.88,0.76,0.81,0.92,0.75,0.83
Beta_Academy_Grade 4 Reading,Beta_Academy,Grade 4 Reading,At Approaches Grade Level or Above,2021,0.63,0.63,0.77,0.71,0.77,0.83,0.74,0.83
Beta_Academy_Grade 4 Reading,Beta_Academy,Grade 4 Reading,At Approaches Grade Level or Above,2021,0.63,0.63,0.77,0.71,0.77,0.83,0.74,0.83
Harmony_Schools_South_Grade 7 Reading,Harmony_Schools_South,Grade 7 Reading,At Approaches Grade Level or Above,2022,0.8,0.81,0.84,0.82,0.85,0.8,0.85,0.82
Harmony_Schools_South_Grade 7 Reading,Harmony_Schools_South,Grade 7 Reading,At Approaches Grade Level or Above,2022,0.8,0.81,0.84,0.82,0.85,0.8,0.85,0.82
Galena_Park_ISD_Grade 5 Mathematics,Galena_Park_ISD,Grade 5 Mathematics,At Approaches Grade Level or Above,2022,0.77,0.76,0.8,0.7,0.81,0.93,0.79,0.82
Galena_Park_ISD_Grade 5 Mathematics,Galena_Park_ISD,Grade 5 Mathematics,At Approaches Grade Level or Above,2022,0.77,0.76,0.8,0.7,0.81,0.93,0.79,0.82
Katy_ISD_Grade 3 Reading,Katy_ISD,Grade 3 Reading,At Approaches Grade Level or Above,2021,0.67,0.68,0.85,0.74,0.78,0.92,0.73,0.82
Katy_ISD_Grade 3 Reading,Katy_ISD,Grade 3 Reading,At Approaches Grade Level or Above,2021,0.67,0.68,0.85,0.74,0.78,0.92,0.73,0.82
Katy_ISD_Grade 3 Mathematics,Katy_ISD,Grade 3 Mathematics,At Approaches Grade Level or Above,2022,0.71,0.71,0.83,0.7,0.75,0.89,0.7,0.82
Katy_ISD_Grade 3 Mathematics,Katy_ISD,Grade 3 Mathematics,At Approaches Grade Level or Above,2022,0.71,0.71,0.83,0.7,0.75,0.89,0.7,0.82
La_Porte_ISD_Grade 5 Reading,La_Porte_ISD,Grade 5 Reading,At Approaches Grade Level or Above,2021,0.73,0.73,0.87,0.78,0.88,0.87,0.85,0.81
La_Porte_ISD_Grade 5 Reading,La_Porte_ISD,Grade 5 Reading,At Approaches Grade Level or Above,2021,0.73,0.73,0.87,0.78,0.88,0.87,0.85,0.81
Harmony_Schools_West_Grade 3 Reading,Harmony_Schools_West,Grade 3 Reading,At Approaches Grade Level or Above,2022,0.76,0.76,0.82,0.84,0.69,0.89,0.82,0.81
Harmony_Schools_West_Grade 3 Reading,Harmony_Schools_West,Grade 3 Reading,At Approaches Grade Level or Above,2022,0.76,0.76,0.82,0.84,0.69,0.89,0.82,0.81
Klein_ISD_Grade 5 Reading,Klein_ISD,Grade 5 Reading,At Approaches Grade Level or Above,2022,0.81,0.81,0.86,0.82,0.82,0.93,0.8,0.81
Klein_ISD_Grade 5 Reading,Klein_ISD,Grade 5 Reading,At Approaches Grade Level or Above,2022,0.81,0.81,0.86,0.82,0.82,0.93,0.8,0.81
Galena_Park_ISD_Grade 5 Reading,Galena_Park_ISD,Grade 5 Reading,At Approaches Grade Level or Above,2022,0.81,0.81,0.81,0.79,0.81,0.85,0.8,0.81
Galena_Park_ISD_Grade 5 Reading,Galena_Park_ISD,Grade 5 Reading,At Approaches Grade Level or Above,2022,0.81,0.81,0.81,0.79,0.81,0.85,0.8,0.81
La_Porte_ISD_Grade 4 Reading,La_Porte_ISD,Grade 4 Reading,At Approaches Grade Level or Above,2022,0.77,0.77,0.83,0.86,0.82,0.83,0.79,0.81
La_Porte_ISD_Grade 4 Reading,La_Porte_ISD,Grade 4 Reading,At Approaches Grade Level or Above,2022,0.77,0.77,0.83,0.86,0.82,0.83,0.79,0.81
Harmony_Schools_West_Grade 7 Reading,Harmony_Schools_West,Grade 7 Reading,At Approaches Grade Level or Above,2021,0.69,0.71,0.81,0.75,0.68,0.83,0.79,0.81
Harmony_Schools_West_Grade 7 Reading,Harmony_Schools_West,Grade 7 Reading,At Approaches Grade Level or Above,2021,0.69,0.71,0.81,0.75,0.68,0.83,0.79,0.81
